ref_no,inci_name,inci_genus,inci_species,desc_genus,desc_species,pattern,resolution,resolved_to,resolution_note
39961,EUCALYPTUS SPECIES LEAF OIL,,,Eucalyptus,spp,genus_level_entry,auto,Eucalyptus spp,"INCI names a genus rather than a species; genus kept, species left generic"
40097,GRASS-HAY HERB EXTRACT,,,Hay,herb,inci_not_binomial,auto,Hay herb,INCI is a trivial or trade name; binomial taken from the description
40098,GRASS-HAY HERB OIL,,,Hay,herb,inci_not_binomial,auto,Hay herb,INCI is a trivial or trade name; binomial taken from the description
41421,CITRUS SPECIES LEAF EXTRACT,,,Citrus,spp,genus_level_entry,auto,Citrus spp,"INCI names a genus rather than a species; genus kept, species left generic"
41422,CITRUS SPECIES LEAF OIL,,,Citrus,spp,genus_level_entry,auto,Citrus spp,"INCI names a genus rather than a species; genus kept, species left generic"
41423,CITRUS SPECIES PEEL EXTRACT,,,Citrus,spp,genus_level_entry,auto,Citrus spp,"INCI names a genus rather than a species; genus kept, species left generic"
41424,CITRUS SPECIES PEEL OIL EXPRESSED,,,Citrus,spp,genus_level_entry,auto,Citrus spp,"INCI names a genus rather than a species; genus kept, species left generic"
41485,PINUS SPECIES TWIG LEAF EXTRACT,,,Pinus,spp,genus_level_entry,auto,Pinus spp,"INCI names a genus rather than a species; genus kept, species left generic"
41486,PINUS SPECIES TWIG LEAF OIL,,,Pinus,spp,genus_level_entry,auto,Pinus spp,"INCI names a genus rather than a species; genus kept, species left generic"
54453,ANANAS SATIVUS FRUIT,Ananas,sativus,Ananas,comosus,species_mismatch,gbif,Ananas comosus,Same taxon under two names; accepted name used. GBIF 2026-08-20: 'Ananas sativus' -> Ananas comosus [SYNONYM/EXACT/98]; 'Ananas comosus' -> Ananas comosus [ACCEPTED/EXACT/98]
54474,ANGELICA POLYMORPHA SINENSIS ROOT EXTRACT,Angelica,polymorpha,Angelica,sinensis,inci_truncated,auto,Angelica sinensis,INCI truncates an infraspecific name; description form is more complete
54482,ANONA MURICATA FRUIT EXTRACT,Annona,muricata,Anona,muricata,spelling_variant,auto,Annona muricata,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
54483,ANONA RETICULATA JUICE,Annona,reticulata,Anona,reticulata,spelling_variant,auto,Annona reticulata,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
54488,ARCTOSTAPHYLOS UVA URSI LEAF EXTRACT,Arctostaphylos,uva,Arctostaphylos,uva-ursi,hyphen_split,auto,Arctostaphylos uva-ursi,INCI splits a hyphenated epithet across two tokens; hyphenated form kept
54489,ARCTOSTAPHYLOS UVA URSI LEAF POWDER,Arctostaphylos,uva,Arctostaphylos,uva-ursi,hyphen_split,auto,Arctostaphylos uva-ursi,INCI splits a hyphenated epithet across two tokens; hyphenated form kept
54502,ARISAEMA CONSANGUINEUM ROOT EXTRACT,Arisaema,consanguineum,Arisaema,consaguineum,spelling_variant,auto,Arisaema consanguineum,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
54734,BORAGE SEED OIL PEG-8 ESTERS,,,Borago,officinalis,inci_not_binomial,auto,Borago officinalis,INCI is a trivial or trade name; binomial taken from the description
54735,BORAGE SEED OIL POLYGLYCERYL-6 ESTERS,,,Borago,officinalis,inci_not_binomial,auto,Borago officinalis,INCI is a trivial or trade name; binomial taken from the description
54790,BACCHARIS TRIMERA EXTRACT,Baccharis,trimera,Baccharis,genisteloides,species_mismatch,excluded,,EXCLUDED - two distinct accepted species; GBIF cannot say which was intended. GBIF 2026-08-20: 'Baccharis trimera' -> Baccharis trimera [ACCEPTED/EXACT/99]; 'Baccharis genisteloides' -> Baccharis genistelloides [ACCEPTED/FUZZY/95]
55060,CANDELILLA CERA HYDROCARBONS,,,Euphorbia,cerifera,inci_not_binomial,auto,Euphorbia cerifera,INCI is a trivial or trade name; binomial taken from the description
55063,CANNA HYBRID ROOT EXTRACT,,,Canna,hybrid,inci_not_binomial,auto,Canna hybrid,INCI is a trivial or trade name; binomial taken from the description
55067,CANOLA OIL UNSAPONIFIABLES,,,Brassica,napus,inci_not_binomial,auto,Brassica napus,INCI is a trivial or trade name; binomial taken from the description
55077,CAREX HUMILLIS ROOT EXTRACT,Carex,humillis,Carex,humilis,spelling_variant,auto,Carex humillis,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
55084,CARNAUBA ACID WAX,,,Copernicia,cerifera,inci_not_binomial,auto,Copernicia cerifera,INCI is a trivial or trade name; binomial taken from the description
55378,CITRUS GRANDIS/PARADISI FRUIT WATER,Citrus,grandis,Citrus,paradisi,inci_truncated,auto,Citrus paradisi,INCI truncates an infraspecific name; description form is more complete
55494,CORYLUS AVELLANA ETHYL ESTER,Corylus,avellana,Corylus,avellanna,spelling_variant,auto,Corylus avellana,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
56035,EUGENIA CUMINI FRUIT EXTRACT,Eugenia,cumini,Eugenia,cumuni,spelling_variant,auto,Eugenia cumini,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
56036,EUGENIA CUMINI LEAF EXTRACT,Eugenia,cumini,Eugenia,cumuni,spelling_variant,auto,Eugenia cumini,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
56141,ENGELHARDTIA CHRYSOLEPIS LEAF EXTRACT,Engelhardtia,chrysolepis,Engelhardtia,chrysolepsis,spelling_variant,auto,Engelhardtia chrysolepis,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
56254,FERULA ASSA FOETIDA ROOT EXTRACT,Ferula,assa,Ferula,assa-foetida,hyphen_split,auto,Ferula assa-foetida,INCI splits a hyphenated epithet across two tokens; hyphenated form kept
56258,FICIN,,,Ficus,carica,inci_not_binomial,auto,Ficus carica,INCI is a trivial or trade name; binomial taken from the description
56399,HORSERADISH PEROXIDASE,,,Cochlearia,armoracia,inci_not_binomial,auto,Cochlearia armoracia,INCI is a trivial or trade name; binomial taken from the description
56449,HIBISCUS ROSA-SINENSIS FLOWER POWDER,Hibiscus,rosa-sinensis,Hibiscus,rosa,species_mismatch,excluded,,EXCLUDED - two distinct accepted species; GBIF cannot say which was intended. GBIF 2026-08-20: 'Hibiscus rosa-sinensis' -> Hibiscus rosa-sinensis [ACCEPTED/EXACT/99]; 'Hibiscus rosa' -> Hibiscus cameronii [SYNONYM/FUZZY/96]
56477,GOSSYPIUM HERBACEUM SEED OIL,Gossypium,herbaceum,Gossypium,spp,genus_level_entry,auto,Gossypium spp,"INCI names a genus rather than a species; genus kept, species left generic"
56535,HYDROLYZED BANANA FRUIT,,,Musa,nana,inci_not_binomial,auto,Musa nana,INCI is a trivial or trade name; binomial taken from the description
56544,HYDROLYZED CHESTNUT EXTRACT,,,Castanea,sativa,inci_not_binomial,auto,Castanea sativa,INCI is a trivial or trade name; binomial taken from the description
56547,HYDROLYZED CICER SEED EXTRACT,,,Cicer,arietinum,inci_not_binomial,auto,Cicer arietinum,INCI is a trivial or trade name; binomial taken from the description
56549,HYDROLYZED COCOA FRUIT,,,Theobroma,cacao,inci_not_binomial,auto,Theobroma cacao,INCI is a trivial or trade name; binomial taken from the description
56607,HYDROLYZED CUCUMBER FRUIT,,,Cucumis,melo,inci_not_binomial,auto,Cucumis melo,INCI is a trivial or trade name; binomial taken from the description
56611,HYDROLYZED EUTERPE OLERACEAE FRUIT,Euterpe,oleraceae,Euterpe,oleracea,spelling_variant,auto,Euterpe oleraceae,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
56618,HYDROLYZED GRAPE FRUIT,,,Vitis,vinifera,inci_not_binomial,auto,Vitis vinifera,INCI is a trivial or trade name; binomial taken from the description
56654,HYDROGENATED MACADAMIA SEED OIL,,,Macadamia,integrifolia,inci_not_binomial,auto,Macadamia integrifolia,INCI is a trivial or trade name; binomial taken from the description
56704,ILLIPE BUTTER,,,Bassia,latifolia,inci_not_binomial,auto,Bassia latifolia,INCI is a trivial or trade name; binomial taken from the description
57184,LILIUM HYBRID EXTRACT,,,Lilium,hybrid,inci_not_binomial,auto,Lilium hybrid,INCI is a trivial or trade name; binomial taken from the description
57300,LIPPIA CITRODORA FLOWER EXTRACT,Lippia,citrodora,Lippia,citriodora,spelling_variant,auto,Lippia citrodora,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
57302,LIPPIA CITRODORA LEAF EXTRACT,Lippia,citrodora,Lippia,citriodora,spelling_variant,auto,Lippia citrodora,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
57426,PEG-11 COCOA BUTTER GLYCERIDES,,,Theobroma,cacao,inci_not_binomial,auto,Theobroma cacao,INCI is a trivial or trade name; binomial taken from the description
57785,OLIBANUM,,,Boswellia,carterii,inci_not_binomial,auto,Boswellia carterii,INCI is a trivial or trade name; binomial taken from the description
57821,KELP SULFATED OLIGOSACCHARIDES,Kelp,sulfated,Macrocystis,pyrifera,genus_mismatch,gbif,Macrocystis pyrifera,INCI name is not in the GBIF backbone; description name used. GBIF 2026-08-20: 'Kelp sulfated' -> no match [no_match:NONE/NONE/0]; 'Macrocystis pyrifera' -> Macrocystis pyrifera [ACCEPTED/EXACT/99]
57883,OPHIOPOGON EXTRACT STEARATE,,,Ophiopogon,japonicus,inci_not_binomial,auto,Ophiopogon japonicus,INCI is a trivial or trade name; binomial taken from the description
58009,LACTOBACILLUS/PUNICA GRANATUM FRUIT FERMENT EXTRACT,Lactobacillus,punica,Punica,granatum,genus_mismatch,gbif,Punica granatum,INCI name is not in the GBIF backbone; description name used. GBIF 2026-08-20: 'Lactobacillus punica' -> no match [no_match:HIGHERRANK/HIGHERRANK/0]; 'Punica granatum' -> Punica granatum [ACCEPTED/EXACT/99]
58815,STERCULIA AFRICANA SEED OIL,Sterculia,africana,Stercula,africana,spelling_variant,auto,Sterculia africana,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
59124,POTASSIUM HEMPSEEDATE,,,Cannabis,sativa,inci_not_binomial,auto,Cannabis sativa,INCI is a trivial or trade name; binomial taken from the description
59260,ROSA BORBONIANA EXTRACT,Rosa,borboniana,Rosa,bourboniana,spelling_variant,auto,Rosa borboniana,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
59347,ROSA HYBRID FLOWER CERA,,,Rosa,hybrida,inci_not_binomial,auto,Rosa hybrida,INCI is a trivial or trade name; binomial taken from the description
59348,ROSA HYBRID FLOWER EXTRACT,,,Rosa,hybrida,inci_not_binomial,auto,Rosa hybrida,INCI is a trivial or trade name; binomial taken from the description
59349,ROSA HYBRID FLOWER WATER,,,Rosa,hybrida,inci_not_binomial,auto,Rosa hybrida,INCI is a trivial or trade name; binomial taken from the description
59357,ROSA RUGOSA BUD POWDER,Rosa,rugosa,Rosa,rubiginosa,species_mismatch,excluded,,EXCLUDED - two distinct accepted species; GBIF cannot say which was intended. GBIF 2026-08-20: 'Rosa rugosa' -> Rosa rugosa [ACCEPTED/EXACT/97]; 'Rosa rubiginosa' -> Rosa rubiginosa [ACCEPTED/EXACT/97]
59358,ROSA RUGOSA FLOWER EXTRACT,Rosa,rugosa,Rosa,rubiginosa,species_mismatch,excluded,,EXCLUDED - two distinct accepted species; GBIF cannot say which was intended. GBIF 2026-08-20: 'Rosa rugosa' -> Rosa rugosa [ACCEPTED/EXACT/97]; 'Rosa rubiginosa' -> Rosa rubiginosa [ACCEPTED/EXACT/97]
59359,ROSA RUGOSA LEAF EXTRACT,Rosa,rugosa,Rosa,rubiginosa,species_mismatch,excluded,,EXCLUDED - two distinct accepted species; GBIF cannot say which was intended. GBIF 2026-08-20: 'Rosa rugosa' -> Rosa rugosa [ACCEPTED/EXACT/97]; 'Rosa rubiginosa' -> Rosa rubiginosa [ACCEPTED/EXACT/97]
59361,ROSE EXTRACT,,,Rosa,spp,genus_level_entry,auto,Rosa spp,"INCI names a genus rather than a species; genus kept, species left generic"
59441,RUBUS FRUTICOSUS/IDAEUS EXTRACT,Rubus,fruticosus,Rubus,idaeus,inci_truncated,auto,Rubus idaeus,INCI truncates an infraspecific name; description form is more complete
59538,SACCHAROMYCES/LAMINARIA SACCHARINA FERMENT,Saccharomyces,laminaria,Laminaria,saccharina,genus_mismatch,gbif,Saccharina latissima,INCI name is not in the GBIF backbone; description name used. GBIF 2026-08-20: 'Saccharomyces laminaria' -> no match [no_match:HIGHERRANK/HIGHERRANK/0]; 'Laminaria saccharina' -> Saccharina latissima [SYNONYM/EXACT/98]
59913,TULIPA HYBRID FLOWER EXTRACT,,,Tulipa,hybrida,inci_not_binomial,auto,Tulipa hybrida,INCI is a trivial or trade name; binomial taken from the description
59972,SWEET ALMOND OIL PEG-8 ESTERS,Sweet,almond,Prunus,amygdalus,genus_mismatch,gbif,Prunus amygdalus,INCI name is not in the GBIF backbone; description name used. GBIF 2026-08-20: 'Sweet almond' -> no match [no_match:NONE/NONE/0]; 'Prunus amygdalus' -> Prunus amygdalus [ACCEPTED/EXACT/97]
60068,TAR OIL,,,Tar,oil,inci_not_binomial,auto,Tar oil,INCI is a trivial or trade name; binomial taken from the description
60107,VITEX AGNUS CASTUS EXTRACT,Vitex,agnus,Vitex,agnus-castus,hyphen_split,auto,Vitex agnus-castus,INCI splits a hyphenated epithet across two tokens; hyphenated form kept
60108,VITEX AGNUS CASTUS LEAF CELL EXTRACT,Vitex,agnus,Vitex,agnus-castus,hyphen_split,auto,Vitex agnus-castus,INCI splits a hyphenated epithet across two tokens; hyphenated form kept
74293,AGAROSE,,,Agarose,is,inci_not_binomial,auto,Agarose is,INCI is a trivial or trade name; binomial taken from the description
74796,CANOLA OIL,,,Brassica,napus,inci_not_binomial,auto,Brassica napus,INCI is a trivial or trade name; binomial taken from the description
76054,EUGENIA CARYOPHYLLUS FLOWER EXTRACT,Eugenia,caryophyllus,Eugenia,caryophyllata,species_mismatch,gbif,Syzygium aromaticum,Same taxon under two names; accepted name used. GBIF 2026-08-20: 'Eugenia caryophyllus' -> Syzygium aromaticum [SYNONYM/EXACT/98]; 'Eugenia caryophyllata' -> Syzygium aromaticum [SYNONYM/EXACT/98]
77197,PEANUT OIL PEG-6 ESTERS,,,Arachis,hypogaea,inci_not_binomial,auto,Arachis hypogaea,INCI is a trivial or trade name; binomial taken from the description
77297,PEG-75 SHOREA BUTTER GLYCERIDES,,,Shorea,stenoptera,inci_not_binomial,auto,Shorea stenoptera,INCI is a trivial or trade name; binomial taken from the description
77774,MALT EXTRACT,,,Hordeum,vulgare,inci_not_binomial,auto,Hordeum vulgare,INCI is a trivial or trade name; binomial taken from the description
79644,POTASSIUM PEANUTATE,,,Arachis,hypogaea,inci_not_binomial,auto,Arachis hypogaea,INCI is a trivial or trade name; binomial taken from the description
79726,POTASSIUM RAPESEEDATE,,,Brassica,campestris,inci_not_binomial,auto,Brassica campestris,INCI is a trivial or trade name; binomial taken from the description
79762,ROSA MOSCHATA SEED OIL,Rosa,moschata,Rosa,eglanteria,species_mismatch,gbif,Rosa moschata,Description name is not in the GBIF backbone; INCI name used. GBIF 2026-08-20: 'Rosa moschata' -> Rosa moschata [ACCEPTED/EXACT/97]; 'Rosa eglanteria' -> no match [no_match:HIGHERRANK/HIGHERRANK/0]
80739,ZEIN,,,Zea,mays,inci_not_binomial,auto,Zea mays,INCI is a trivial or trade name; binomial taken from the description
82310,HYDROLYZED CRANBERRY FRUIT/LEAF EXTRACT,,,Vaccinium,vitis-idaea,inci_not_binomial,auto,Vaccinium vitis-idaea,INCI is a trivial or trade name; binomial taken from the description
82409,ROSA HYBRID OVARY EXTRACT,,,Rosa,hybrid,inci_not_binomial,auto,Rosa hybrid,INCI is a trivial or trade name; binomial taken from the description
82823,HIBISCUS ROSA-SINENSIS FLOWER EXTRACT,Hibiscus,rosa-sinensis,Hibiscus,rosa,species_mismatch,excluded,,EXCLUDED - two distinct accepted species; GBIF cannot say which was intended. GBIF 2026-08-20: 'Hibiscus rosa-sinensis' -> Hibiscus rosa-sinensis [ACCEPTED/EXACT/99]; 'Hibiscus rosa' -> Hibiscus cameronii [SYNONYM/FUZZY/96]
83098,HIBISCUS ROSA-SINENSIS LEAF EXTRACT,Hibiscus,rosa-sinensis,Hibiscus,rosa,species_mismatch,excluded,,EXCLUDED - two distinct accepted species; GBIF cannot say which was intended. GBIF 2026-08-20: 'Hibiscus rosa-sinensis' -> Hibiscus rosa-sinensis [ACCEPTED/EXACT/99]; 'Hibiscus rosa' -> Hibiscus cameronii [SYNONYM/FUZZY/96]
83221,ASCORBIC ACID/ORANGE/CITRUS LIMON/CITRUS AURANTIFOLIA POLYPEPTIDES,,,Citrus,aurantifolia,inci_not_binomial,auto,Citrus aurantifolia,INCI is a trivial or trade name; binomial taken from the description
83235,ZIYU GLYCOSIDE I,,,Sanguisorba,officinalis,inci_not_binomial,auto,Sanguisorba officinalis,INCI is a trivial or trade name; binomial taken from the description
83317,ADONIS PALAESTINA FLOWER EXTRACT,Adonis,palaestina,Adonis,palestina,spelling_variant,auto,Adonis palaestina,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
83401,QUERCUS SEMECARPIFOLIA BARK EXTRACT,Quercus,semecarpifolia,Quercus,semicarpifolia,spelling_variant,auto,Quercus semecarpifolia,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
83512,CASSIA GUM,,,Cassia,obtusifolia,inci_not_binomial,auto,Cassia obtusifolia,INCI is a trivial or trade name; binomial taken from the description
83588,ROSA RUGOSA FLOWER OIL,Rosa,rugosa,Rosa,rubiginosa,species_mismatch,excluded,,EXCLUDED - two distinct accepted species; GBIF cannot say which was intended. GBIF 2026-08-20: 'Rosa rugosa' -> Rosa rugosa [ACCEPTED/EXACT/97]; 'Rosa rubiginosa' -> Rosa rubiginosa [ACCEPTED/EXACT/97]
84041,DENDROPANAX MORBIFERUS EXTRACT,Dendropanax,morbiferus,Dendropanax,morbifera,species_mismatch,gbif,Dendropanax morbiferus,Same taxon under two names; accepted name used. GBIF 2026-08-20: 'Dendropanax morbiferus' -> Dendropanax morbiferus [ACCEPTED/EXACT/99]; 'Dendropanax morbifera' -> Dendropanax morbiferus [ACCEPTED/FUZZY/95]
84042,DENDROPANAX MORBIFERUS LEAF EXTRACT,Dendropanax,morbiferus,Dendropanax,morbifera,species_mismatch,gbif,Dendropanax morbiferus,Same taxon under two names; accepted name used. GBIF 2026-08-20: 'Dendropanax morbiferus' -> Dendropanax morbiferus [ACCEPTED/EXACT/99]; 'Dendropanax morbifera' -> Dendropanax morbiferus [ACCEPTED/FUZZY/95]
84757,GANODERMA LUCIDUM FRUITING BODY EXTRACT,Ganoderma,lucidum,Ganoderma,luciderm,species_mismatch,gbif,Ganoderma lucidum,Description name is not in the GBIF backbone; INCI name used. GBIF 2026-08-20: 'Ganoderma lucidum' -> Ganoderma lucidum [ACCEPTED/EXACT/99]; 'Ganoderma luciderm' -> no match [no_match:HIGHERRANK/HIGHERRANK/0]
84772,CITRUS LIMON LEAF/PEEL/STEM OIL,Citrus,limon,Citrus,citrus,inci_truncated,auto,Citrus citrus,INCI truncates an infraspecific name; description form is more complete
84979,OURICURY CERA,,,Syagrus,coronata,inci_not_binomial,auto,Syagrus coronata,INCI is a trivial or trade name; binomial taken from the description
85841,VACCINIUM OXYCOCCOS SEEDCAKE,Vaccinium,oxycoccos,Vaccinium,oxycoccus,spelling_variant,auto,Vaccinium oxycoccos,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
85844,GHATTI GUM,,,Anogeissus,latifolia,inci_not_binomial,auto,Anogeissus latifolia,INCI is a trivial or trade name; binomial taken from the description
86110,LILIUM HYBRID FLOWER EXTRACT,,,Lilium,hybrid,inci_not_binomial,auto,Lilium hybrid,INCI is a trivial or trade name; binomial taken from the description
86355,SOLEIROLIA SOLEIROLII EXTRACT,Soleirolia,soleirolii,Soleirolia,soleirolli,spelling_variant,auto,Soleirolia soleirolii,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
86424,ZIYU GLYCOSIDE II,,,Sanguisorba,officinalis,inci_not_binomial,auto,Sanguisorba officinalis,INCI is a trivial or trade name; binomial taken from the description
86471,ELAEIS OLEIFERA KERNEL OIL,Elaeis,oleifera,Elaeis,guineensis,species_mismatch,excluded,,EXCLUDED - two distinct accepted species; GBIF cannot say which was intended. GBIF 2026-08-20: 'Elaeis oleifera' -> Elaeis oleifera [ACCEPTED/EXACT/99]; 'Elaeis guineensis' -> Elaeis guineensis [ACCEPTED/EXACT/98]
87118,POTASSIUM LAUROYL PEA AMINO ACIDS,Lauroyl,pea,Pisum,sativum,genus_mismatch,gbif,Lathyrus oleraceus,INCI name is not in the GBIF backbone; description name used. GBIF 2026-08-20: 'Lauroyl pea' -> no match [no_match:NONE/NONE/0]; 'Pisum sativum' -> Lathyrus oleraceus [SYNONYM/EXACT/98]
87170,ADENIUM OBESUM LEAF EXTRACT,Adenium,obesum,Adenium,obseum,species_mismatch,gbif,Adenium obesum,Same taxon under two names; accepted name used. GBIF 2026-08-20: 'Adenium obesum' -> Adenium obesum [ACCEPTED/EXACT/99]; 'Adenium obseum' -> Adenium obesum [ACCEPTED/FUZZY/95]
87237,AEOLLANTHUS SUAVEOLENS LEAF OIL,Aeollanthus,suaveolens,Aeollanthus,suaveonlens,spelling_variant,auto,Aeollanthus suaveolens,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
87246,ASPERGILLUS/BUCKWHEAT FERMENT EXTRACT,Aspergillus,buckwheat,Polygonum,fagopyrum,genus_mismatch,excluded,,EXCLUDED - neither name matched; GBIF cannot say which was intended. GBIF 2026-08-20: 'Aspergillus buckwheat' -> no match [no_match:NONE/NONE/0]; 'Polygonum fagopyrum' -> no match [no_match:HIGHERRANK/HIGHERRANK/0]
87247,ASPERGILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT,Aspergillus,camellia,Camellia,sinensis,genus_mismatch,gbif,Camellia sinensis,INCI name is not in the GBIF backbone; description name used. GBIF 2026-08-20: 'Aspergillus camellia' -> no match [no_match:NONE/NONE/0]; 'Camellia sinensis' -> Camellia sinensis [ACCEPTED/EXACT/99]
87287,CITRUS TANGELO FRUIT POWDER,Citrus,tangelo,Citrus,var,species_mismatch,gbif,Citrus aurantium,Description name is not in the GBIF backbone; INCI name used. GBIF 2026-08-20: 'Citrus tangelo' -> Citrus aurantium [SYNONYM/EXACT/98]; 'Citrus var' -> no match [no_match:HIGHERRANK/HIGHERRANK/0]
87383,PUERARIA THOMSONI FLOWER EXTRACT,Pueraria,thomsoni,Pueraria,thomsonii,spelling_variant,auto,Pueraria thomsoni,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
87390,ROSA HYBRID CALLUS CULTURE EXTRACT,,,Rosa,hybrida,inci_not_binomial,auto,Rosa hybrida,INCI is a trivial or trade name; binomial taken from the description
87485,RICE FERMENT LEES,,,Oryza,sativa,inci_not_binomial,auto,Oryza sativa,INCI is a trivial or trade name; binomial taken from the description
87586,PSEUDANABAENACEAE FERMENT FILTRATE,,,Filtrate,is,inci_not_binomial,auto,Filtrate is,INCI is a trivial or trade name; binomial taken from the description
88049,MUSA PARADISIACA FRUIT JUICE,Musa,paradisiaca,Musa,paradisica,spelling_variant,auto,Musa paradisiaca,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
88060,PRUNUS AMYGDALUS DULCIS OLEOSOMES,Prunus,amygdalus,Prunus,dulcis,inci_truncated,auto,Prunus dulcis,INCI truncates an infraspecific name; description form is more complete
